partner,warehouse,name_nom,price_deal,product_price,,2020-01,2020-02,2020-03,2021-01,2021-02,2021-03,All
Avocado,Малый Склад,Амортизатор кабины VOLVO (M6000518),9.889599182201552,19.58665592857143,13,0,6,0,0,0,0,6
Avocado,Малый Склад,Амортизатор кабины VOLVO (M6000518),9.889599182201552,19.58665592857143,16,0,0,0,12,0,0,12
Avocado,Малый Склад,Амортизатор кабины VOLVO (M6000518),9.889599182201552,19.58665592857143,17,14,0,0,0,0,0,14
Avocado,Малый Склад,Амортизатор кабины VOLVO (M6000518),9.889599182201552,19.58665592857143,20,0,0,6,0,0,0,6
Avocado,Малый Склад,Амортизатор кабины VOLVO (M6000518),9.889599182201552,19.58665592857143,25,0,12,0,0,0,0,12
Azerbaijan Zebu,Средний Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),278.17208049466666,228.60458085714288,17,0,0,0,0,0,12,12
Azerbaijan Zebu,Средний Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),278.17208049466666,228.60458085714288,31,0,0,0,0,0,6,6
Azerbaijan Zebu,Средний Склад,"Накладки торм. (с заклеп.) 1-ый рем.MAN,MB 19487,19495 (AC2126+10)",11.882925406666667,39.50721842857144,15,0,0,0,0,6,0,6
Bachelor’s Button,Изумрудный Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),268.19529616533333,228.60458085714288,15,0,0,0,0,6,0,6
Bactrian Camel,Ораньжевый склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),90.44703157746667,21.58250657142857,14,7,0,0,0,0,0,7
Bactrian Camel,Ораньжевый склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),90.44703157746667,21.58250657142857,16,7,0,0,0,0,0,7
Bactrian Camel,Ораньжевый склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),90.44703157746667,21.58250657142857,18,0,6,0,0,0,0,6
Baguette,Средний Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),293.24484573333336,228.60458085714288,30,0,0,0,0,0,6,6
Baiji,Розовый Склад,Амортизатор кабины VOLVO (M6000518),7.997004286623656,19.58665592857143,04,0,0,6,0,0,0,6
Baiji,Розовый Склад,Амортизатор кабины VOLVO (M6000518),7.997004286623656,19.58665592857143,08,0,0,0,6,0,0,6
Baiji,Розовый Склад,Амортизатор кабины VOLVO (M6000518),7.997004286623656,19.58665592857143,14,7,0,0,0,0,0,7
Baiji,Розовый Склад,Амортизатор кабины VOLVO (M6000518),7.997004286623656,19.58665592857143,19,0,0,0,0,6,0,6
Baiji,Розовый Склад,Амортизатор кабины VOLVO (M6000518),7.997004286623656,19.58665592857143,20,0,0,0,6,0,0,6
Bali tiger,Большой Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),99.82748103066668,34.741461,05,0,0,0,0,12,0,12
Banded rock rattlesnake,Белый cклад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),82.16125333333333,21.58250657142857,22,0,0,0,0,6,0,6
Bandy-bandy,Ораньжевый склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.7909028366666668,134.92861000000002,24,0,0,0,0,60,0,60
Bandy-bandy,Ораньжевый склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.7909028366666668,134.92861000000002,25,0,0,0,0,120,0,120
Bateleur eagle,Белый cклад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.1701903466666668,134.92861000000002,04,0,60,0,0,0,0,60
Bath Cheese,Большой Склад,Амортизатор кабины VOLVO (M6000518),9.687095082666668,19.58665592857143,25,0,0,0,0,0,12,12
Bath Cheese,Большой Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.1348058359298245,134.92861000000002,07,0,24,0,0,0,0,24
Bath Cheese,Большой Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.1348058359298245,134.92861000000002,21,70,0,0,0,0,0,70
Bath Cheese,Большой Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.1348058359298245,134.92861000000002,22,0,0,0,0,12,0,12
Bath Cheese,Большой Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),94.22724723377779,21.58250657142857,10,0,6,0,0,0,0,6
Bath Cheese,Большой Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),94.22724723377779,21.58250657142857,25,0,6,0,0,0,0,6
Bath Cheese,Большой Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),94.22724723377779,21.58250657142857,26,0,0,0,6,0,0,6
Bazlama,Ораньжевый склад,Барабан тормозной BPW о.н.0310546030 (M1900180),2.195547009333333,42.755218714285725,15,70,0,0,0,0,0,70
Bazlama,Ораньжевый склад,Барабан тормозной BPW о.н.0310546030 (M1900180),2.195547009333333,42.755218714285725,20,0,60,0,0,0,0,60
Bennu heron,Средний Склад,Амортизатор кабины VOLVO (M6000519),128.19110391200002,14.403515285714288,20,7,0,0,0,0,0,7
Bennu heron,Средний Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),274.0256286906667,228.60458085714288,09,0,0,0,0,0,6,6
